"State","Kind","Address","Label","Folder","File","Status","Source"
"0x00","Enter","0x0048CC80","CPlayerHero::EnterYoungTarzanIdle","00 - YoungIdle","enter - 0x0048CC80 - EnterYoungIdle.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048CC80_CPlayerHero__EnterYoungTarzanIdle.c"
"0x00","Update","0x0048CCE0","CPlayerHero::UpdateYoungTarzanIdle","00 - YoungIdle","update - 0x0048CCE0 - UpdateYoungIdle.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048CCE0_CPlayerHero__UpdateYoungTarzanIdle.c"
"0x01","Enter","0x0048D1E0","CPlayerHero::EnterYoungTarzanMoveForward","01 - YoungMoveForward","enter - 0x0048D1E0 - EnterYoungMoveForward.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048D1E0_CPlayerHero__EnterYoungTarzanMoveForward.c"
"0x01","Update","0x0048D2E0","CPlayerHero::UpdateYoungTarzanMoveForward","01 - YoungMoveForward","update - 0x0048D2E0 - UpdateYoungMoveForward.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048D2E0_CPlayerHero__UpdateYoungTarzanMoveForward.c"
"0x02","Enter","0x0048D5E0","CPlayerHero::EnterYoungTarzanStopForwardMovement","02 - YoungStopForwardMovement","enter - 0x0048D5E0 - EnterYoungStopForwardMovement.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048D5E0_CPlayerHero__EnterYoungTarzanStopForwardMovement.c"
"0x02","Update","0x0048D680","CPlayerHero::UpdateYoungTarzanStopForwardMovement","02 - YoungStopForwardMovement","update - 0x0048D680 - UpdateYoungStopForwardMovement.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048D680_CPlayerHero__UpdateYoungTarzanStopForwardMovement.c"
"0x03","Enter","0x0048D0B0","CPlayerHero::EnterYoungTarzanTurnAround","03 - YoungTurnAround","enter - 0x0048D0B0 - EnterYoungTurnAround.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048D0B0_CPlayerHero__EnterYoungTarzanTurnAround.c"
"0x03","Update","0x0048D0F0","CPlayerHero::UpdateYoungTarzanTurnAround","03 - YoungTurnAround","update - 0x0048D0F0 - UpdateYoungTurnAround.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048D0F0_CPlayerHero__UpdateYoungTarzanTurnAround.c"
"0x04","Enter","0x0048D920","CPlayerHero::EnterYoungTarzanAirborneMovement","04 - YoungAirborneMovement","enter - 0x0048D920 - EnterYoungAirborneMovement.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048D920_CPlayerHero__EnterYoungTarzanAirborneMovement.c"
"0x04","Update","0x0048DBB0","CPlayerHero::UpdateYoungTarzanAirborneMovement","04 - YoungAirborneMovement","update - 0x0048DBB0 - UpdateYoungAirborneMovement.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048DBB0_CPlayerHero__UpdateYoungTarzanAirborneMovement.c"
"0x05","Enter","0x0048DA10","CPlayerHero::EnterYoungTarzanMovingJump","05 - YoungMovingJump","enter - 0x0048DA10 - EnterYoungMovingJump.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048DA10_CPlayerHero__EnterYoungTarzanMovingJump.c"
"0x05","Update","0x0048DBB0","CPlayerHero::UpdateYoungTarzanAirborneMovement","05 - YoungMovingJump","update - 0x0048DBB0 - UpdateYoungAirborneMovement.c","refreshed_patched","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\young_state_refreshed_decomp\0048DBB0_CPlayerHero__UpdateYoungTarzanAirborneMovement.c"
