"Address","Label","Category","Source","File","Status"
"0043C840","WelcomeToTheJungle::UpdateChameleon","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043C840_WelcomeToTheJungle__UpdateChameleon.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043C840_WelcomeToTheJungle_UpdateChameleon.c","copied"
"0043C8D0","WelcomeToTheJungle::InitCivetCubSpawner","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043C8D0_WelcomeToTheJungle__InitCivetCubSpawner.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043C8D0_WelcomeToTheJungle_InitCivetCubSpawner.c","copied"
"0043C930","WelcomeToTheJungle::UpdateCivetCubSpawner","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043C930_WelcomeToTheJungle__UpdateCivetCubSpawner.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043C930_WelcomeToTheJungle_UpdateCivetCubSpawner.c","copied"
"0043CA40","WelcomeToTheJungle::InitCivetCub","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043CA40_WelcomeToTheJungle__InitCivetCub.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043CA40_WelcomeToTheJungle_InitCivetCub.c","copied"
"0043CAC0","WelcomeToTheJungle::UpdateCivetCub","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043CAC0_WelcomeToTheJungle__UpdateCivetCub.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043CAC0_WelcomeToTheJungle_UpdateCivetCub.c","copied"
"0043CEB0","WelcomeToTheJungle::InitLeapingGroundEnemy","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043CEB0_WelcomeToTheJungle__InitLeapingGroundEnemy.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043CEB0_WelcomeToTheJungle_InitLeapingGroundEnemy.c","copied"
"0043CF20","WelcomeToTheJungle::UpdateLeapingGroundEnemy","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043CF20_WelcomeToTheJungle__UpdateLeapingGroundEnemy.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043CF20_WelcomeToTheJungle_UpdateLeapingGroundEnemy.c","copied"
"0043D120","WelcomeToTheJungle::InitCivet","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043D120_WelcomeToTheJungle__InitCivet.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043D120_WelcomeToTheJungle_InitCivet.c","copied"
"0043D1A0","WelcomeToTheJungle::UpdateCivet","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043D1A0_WelcomeToTheJungle__UpdateCivet.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043D1A0_WelcomeToTheJungle_UpdateCivet.c","copied"
"0043D450","WelcomeToTheJungle::InitLemurSpawner","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043D450_WelcomeToTheJungle__InitLemurSpawner.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043D450_WelcomeToTheJungle_InitLemurSpawner.c","copied"
"0043D4C0","WelcomeToTheJungle::SpawnLemursOnPath","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043D4C0_WelcomeToTheJungle__SpawnLemursOnPath.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043D4C0_WelcomeToTheJungle_SpawnLemursOnPath.c","copied"
"0043D5D0","WelcomeToTheJungle::InitLemur","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043D5D0_WelcomeToTheJungle__InitLemur.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043D5D0_WelcomeToTheJungle_InitLemur.c","copied"
"0043D680","WelcomeToTheJungle::UpdateLemur","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043D680_WelcomeToTheJungle__UpdateLemur.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043D680_WelcomeToTheJungle_UpdateLemur.c","copied"
"0043DDB0","WelcomeToTheJungle::InitMonkey","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043DDB0_WelcomeToTheJungle__InitMonkey.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043DDB0_WelcomeToTheJungle_InitMonkey.c","copied"
"0043DEE0","WelcomeToTheJungle::UpdateMonkey","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043DEE0_WelcomeToTheJungle__UpdateMonkey.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043DEE0_WelcomeToTheJungle_UpdateMonkey.c","copied"
"0043E270","WelcomeToTheJungle::InitSwingingMonkey","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043E270_WelcomeToTheJungle__InitSwingingMonkey.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043E270_WelcomeToTheJungle_InitSwingingMonkey.c","copied"
"0043E380","WelcomeToTheJungle::UpdateSwingingMonkey","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043E380_WelcomeToTheJungle__UpdateSwingingMonkey.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043E380_WelcomeToTheJungle_UpdateSwingingMonkey.c","copied"
"0043E780","WelcomeToTheJungle::InitProjectileThrowingMonkey","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043E780_WelcomeToTheJungle__InitProjectileThrowingMonkey.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043E780_WelcomeToTheJungle_InitProjectileThrowingMonkey.c","copied"
"0043E880","WelcomeToTheJungle::UpdateProjectileThrowingMonkey","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043E880_WelcomeToTheJungle__UpdateProjectileThrowingMonkey.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043E880_WelcomeToTheJungle_UpdateProjectileThrowingMonkey.c","copied"
"0043EBD0","WelcomeToTheJungle::InitPangolin","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043EBD0_WelcomeToTheJungle__InitPangolin.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043EBD0_WelcomeToTheJungle_InitPangolin.c","copied"
"0043EC40","WelcomeToTheJungle::UpdatePangolin","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\0043EC40_WelcomeToTheJungle__UpdatePangolin.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\0043EC40_WelcomeToTheJungle_UpdatePangolin.c","copied"
"00493430","WelcomeToTheJungle::InitTutorialCameraAnchor","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\00493430_WelcomeToTheJungle__InitTutorialCameraAnchor.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\00493430_WelcomeToTheJungle_InitTutorialCameraAnchor.c","copied"
"00493460","WelcomeToTheJungle::UpdateTutorialCameraAnchor","WelcomeToTheJungle","C:\Users\Proxi\TarzanREVERSEDCodex\ghidra_export\decomp\00493460_WelcomeToTheJungle__UpdateTutorialCameraAnchor.c","C:\Users\Proxi\TarzanREVERSEDCodex\Entities\WelcomeToTheJungle\00493460_WelcomeToTheJungle_UpdateTutorialCameraAnchor.c","copied"
